0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00
6.250000000000000000e-01,0.000000000000000000e+00
3.125000000000000000e-01,0.000000000000000000e+00
6.562500000000000000e-01,0.000000000000000000e+00
8.281250000000000000e-01,0.000000000000000000e+00
4.140625000000000000e-01,0.000000000000000000e+00
2.070312500000000000e-01,0.000000000000000000e+00
1.035156250000000000e-01,5.000000000000000000e-01
5.175781250000000000e-02,2.500000000000000000e-01
5.258789062500000000e-01,1.250000000000000000e-01
2.629394531250000000e-01,5.625000000000000000e-01
1.314697265625000000e-01,7.812500000000000000e-01
5.657348632812500000e-01,3.906250000000000000e-01
7.828674316406250000e-01,1.953125000000000000e-01
3.914337158203125000e-01,5.976562500000000000e-01
1.957168579101562500e-01,2.988281250000000000e-01
9.785842895507812500e-02,6.494140625000000000e-01
5.489292144775390625e-01,3.247070312500000000e-01
7.744646072387695312e-01,1.623535156250000000e-01
3.872323036193847656e-01,5.811767578125000000e-01
6.936161518096923828e-01,2.905883789062500000e-01
3.468080759048461914e-01,1.452941894531250000e-01
1.734040379524230957e-01,7.264709472656250000e-02
5.867020189762115479e-01,3.632354736328125000e-02
7.933510094881057739e-01,1.816177368164062500e-02
3.966755047440528870e-01,9.080886840820312500e-03
1.983377523720264435e-01,5.045404434204101562e-01
9.916887618601322174e-02,7.522702217102050781e-01
4.958443809300661087e-02,3.761351108551025391e-01
2.479221904650330544e-02,6.880675554275512695e-01
5.123961095232516527e-01,3.440337777137756348e-01
2.561980547616258264e-01,1.720168888568878174e-01
1.280990273808129132e-01,5.860084444284439087e-01
5.640495136904064566e-01,2.930042222142219543e-01
2.820247568452032283e-01,6.465021111071109772e-01
1.410123784226016141e-01,3.232510555535554886e-01
7.050618921130080707e-02,6.616255277767777443e-01
3.525309460565040354e-02,8.308127638883888721e-01
1.762654730282520177e-02,9.154063819441944361e-01
8.813273651412600884e-03,4.577031909720972180e-01
4.406636825706300442e-03,2.288515954860486090e-01
5.022033184128531502e-01,1.144257977430243045e-01
2.511016592064265751e-01,5.572128988715121523e-01
1.255508296032132876e-01,2.786064494357560761e-01
6.277541480160664378e-02,6.393032247178780381e-01
3.138770740080332189e-02,8.196516123589390190e-01
5.156938537004016609e-01,4.098258061794695095e-01
2.578469268502008305e-01,2.049129030897347548e-01
1.289234634251004152e-01,6.024564515448673774e-01
6.446173171255020762e-02,3.012282257724336887e-01
3.223086585627510381e-02,1.506141128862168443e-01
5.161154329281375519e-01,7.530705644310842217e-02
7.580577164640687204e-01,3.765352822155421109e-02
8.790288582320343602e-01,1.882676411077710554e-02
4.395144291160171801e-01,5.094133820553885528e-01
